,Current,SAA,TAA Static,TAA Quarterly
2017-01-04,0.005614968083626002,0.006170748121681297,0.006685811541730891,0.006685811541730891
2017-01-05,0.001086669789443049,0.0041822131415941485,0.004488142661664199,0.0044776569047200974
2017-01-06,0.001492824348695023,-0.001238804936524271,-0.0014843625710660759,-0.0014913781838399862
2017-01-09,-0.002078404308632781,-0.0010298031710420305,-0.0009420360707199174,-0.0009474018386489133
2017-01-10,0.0003241073247203806,0.00013591618866325066,0.00032725594957376227,0.00033885558316948036
2017-01-11,0.0030999915763538135,0.0037337252196900793,0.004092469177358902,0.0041242309267426076
2017-01-12,-0.0014233830328470793,0.0002005099932958765,0.00013375169723069623,0.0001133061715042627
2017-01-13,0.00203889013924811,0.0007859950326259197,0.0008763776780646727,0.0009001328802525417
2017-01-16,0.0,0.0,0.0,0.0
2017-01-17,-0.00278738810215298,0.000405908931494508,0.00029479466896301576,0.00021941005706883703
2017-01-18,0.0008398849977682774,-0.001460469678838213,-0.0014916630618246596,-0.001500828377241915
2017-01-19,-0.002599508717948583,-0.0030742939166886556,-0.003135983688860313,-0.0031277104225781354
2017-01-20,0.003050475234000997,0.002257889462300377,0.0022905443065016915,0.0022942196638086275
2017-01-23,-0.000799091997451045,0.0025729764397573684,0.0028143882258489395,0.002833994766843024
2017-01-24,0.00430729793651369,0.001466171990968379,0.0015042296230246381,0.0015131527564703983
2017-01-25,0.007316533865244905,0.002829594898967235,0.0029268556692233325,0.003010820038134728
2017-01-26,-0.0009722504873800434,-0.0009972809869223164,-0.0009258139151052913,-0.0009167049782842224
2017-01-27,-0.001465266890366518,-0.0018418580439552932,-0.002045329399927794,-0.0020242824593095874
2017-01-30,-0.004588821059820416,-0.0007698112463976105,-0.0006066030011690624,-0.0007618796081018675
2017-01-31,0.00039196876713100534,6.645434093843e-05,-6.0367485685357654e-05,-3.219477084166663e-05
2017-02-01,0.0008745160723514656,0.0016304033283064258,0.001857798391701372,0.0018710775503378322
2017-02-02,0.0002821354301221292,0.0008282635310788642,0.0006995017260864067,0.0006628486745487909
2017-02-03,0.004805051668276896,0.0037023750769908195,0.0038305648708733455,0.003857756243931283
2017-02-06,-0.0017873203584065018,0.0003903509681907595,0.0006222036916960937,0.0005949638922033915
2017-02-07,-0.0002608095302498676,-0.00039628344954952823,-0.0004445214096210815,-0.0004860327965034198
2017-02-08,0.0012747926052635078,0.0019507541434777029,0.002034884898750473,0.002047104124209923
2017-02-09,0.003910441375567422,0.00027494439890900506,8.048494274019556e-05,9.803852509936156e-05
2017-02-10,0.0028959814855684823,0.0025363089024008733,0.002755699265618154,0.0027967959185141596
2017-02-13,0.003994980611823208,0.002166290648032331,0.002197984111439011,0.0022501239422088423
2017-02-14,0.0020568219675983807,-0.0004826902472058539,-0.0006943742902168527,-0.0006672375199556043
2017-02-15,0.004052357320680195,0.002186648422525671,0.0023311730541672386,0.0024546306668523205
2017-02-16,-0.00021545772297612862,0.0007050069915436679,0.0007644261375201745,0.0006866700393918647
2017-02-17,0.0006836165075006402,0.0009546888090063035,0.0010158879676936319,0.001009342873730227
2017-02-20,0.0,0.0,0.0,0.0
2017-02-21,0.004554286880398659,0.003170858365240402,0.0033246377783359374,0.0034011886235155993
2017-02-22,-0.00037086775629869087,0.0007140203070528158,0.0008131801520155479,0.0008301361985019541
2017-02-23,0.0005993079913197545,0.0020116689674454006,0.0020114525371597147,0.0019491789109274404
2017-02-24,-0.0004207697772982997,-0.0006040299040598959,-0.0008045882022772431,-0.0009090017027930564
2017-02-27,0.0007948445497723253,-0.0017813237985383886,-0.0020264082793802598,-0.0020147284813071564
2017-02-28,-0.001908642740118924,-0.000777182138835586,-0.0008446104583546279,-0.0009190783203582594
2017-03-01,0.010171247563009978,0.003888178601741756,0.0038905203575670382,0.004031787439568797
2017-03-02,-0.005333801036734221,-0.004797123706332227,-0.005126849648709285,-0.0052827829948267156
2017-03-03,0.001170564679637273,0.0013464467016060567,0.0012247803513029364,0.0012275761190591382
2017-03-06,-0.002321006895883439,-0.001114452890685503,-0.001099049098856869,-0.0011499756812518968
2017-03-07,-0.0023924977010864297,-0.0014609729230390073,-0.001246502402604336,-0.0012339153508831935
2017-03-08,-0.001754059287581782,-0.003197665687402654,-0.0031029139245851954,-0.003099680803979277
2017-03-09,0.0008393656905621013,-0.002236035206798225,-0.00257317577830667,-0.0026223336466064014
2017-03-10,0.003788928961006569,0.004744701832260537,0.005201654381370849,0.005284897773768785
2017-03-13,0.0013659042355822007,0.00221834187859238,0.002570937316881027,0.0026554453368814535
2017-03-14,-0.0034791512010907276,-0.003094596328005147,-0.003131632926257092,-0.0031824676503108325
2017-03-15,0.00824259500529883,0.009363206340990146,0.009485853033370507,0.009624652456026235
2017-03-16,-6.468412346453854e-05,0.0007811388360492599,0.0009794872832042934,0.0010657127818298796
2017-03-17,-0.0007109067749064133,0.002801144689861343,0.0030911465534489363,0.0030523191147608874
2017-03-20,-0.000198331944249448,0.002145618780811653,0.0025325727953833398,0.0026298299074597508
2017-03-21,-0.008827928452458528,-0.0041224019498813155,-0.004322968762425789,-0.004518810628668275
2017-03-22,0.0018264955252535985,0.0015632685716111608,0.0015138932902465218,0.0015479285338611936
2017-03-23,-0.0005847217039707036,3.480031526284023e-05,6.367513301654312e-05,2.188720504599579e-05
2017-03-24,0.00016625349127717746,0.0013913493030600584,0.0014740293910533151,0.001479516449905395
2017-03-27,-0.00016731360240338224,0.0011075044716464663,0.0012282547024172906,0.0012350575868254469
