portfolio,cagr,ann_vol,sharpe_rf0,sharpe_rf_cash,sortino,max_drawdown,calmar,worst_month,best_month,%positive_months,tracking_error_vs_saa
Current,0.11165175639736313,0.13500387616656379,0.8518558128642463,0.6891860515032501,0.8325987675981501,-0.2608950614126413,0.42795657300990675,-0.09658775439618295,0.0886716212173444,0.7,0.05667703662832907
SAA,0.07468636581526522,0.09698276861968991,0.7914988787656732,0.5650560927802277,0.6629375157636537,-0.22906305315890663,0.32605155997573065,-0.10719281624412114,0.08379865496727623,0.7,0.0
TAA Static,0.07753478326657381,0.10357779318670245,0.7730903935020943,0.5610657148218015,0.6565443987509975,-0.24846304617924975,0.3120576055830756,-0.11370136921082086,0.08848660708878109,0.6818181818181818,0.010066944238091789
TAA Quarterly,0.07610824215285272,0.10140079712454247,0.7743938361000396,0.5578171528630094,0.6600980770728326,-0.23276531444087,0.3269741556454568,-0.10934361882647947,0.08709950417442447,0.6818181818181818,0.0071225770475702235
