portfolio,VaR_1d_95,VaR_10d_95
SAA,0.008561502152009395,0.024228497936133738
TAA Static,0.009011182932287346,0.025835847609767836
TAA Quarterly,0.00907068320979848,0.026428795414290877
Current,0.01250287512285351,0.03659409242730164
