,Current,SAA,TAA Static,TAA Quarterly
2017-01-31,0.012843099292134896,0.014443524923702267,0.015802615071663473,0.015768362653986845
2017-02-28,0.026092346148804735,0.01933692908164275,0.01968439430539859,0.01967169485669129
2017-03-31,0.006158020001341136,0.011677301136602702,0.012683939366334274,0.01266717463769873
2017-04-30,0.010915998071479693,0.014437798386737644,0.014918038849103699,0.014763189106715036
2017-05-31,0.016284849451286387,0.012392221213309185,0.011695004268873932,0.012122855021524437
2017-06-30,0.005446545122255175,0.002885048341114027,0.004053666844789028,0.003765089123893839
2017-07-31,0.01854205298838485,0.016048787210921622,0.016840164144928282,0.01686649482269864
2017-08-31,0.00269009263999731,-0.0007036206231917363,-0.0017871222686216548,-0.001684863771657108
2017-09-30,0.01611483280210213,0.009605093919058394,0.010218835716693686,0.010093655736726381
2017-10-31,0.02002367707807151,0.012247870676645789,0.013198285678823307,0.01393152438975842
2017-11-30,0.0201302917668138,0.0075385681153294914,0.008080885247873315,0.008294444721902439
2017-12-31,0.009957892553007275,0.007786805152490972,0.0078120401809633755,0.008036883685731633
2018-01-31,0.04555457512330108,0.021307502049259908,0.02179975454515959,0.024873293572974742
2018-02-28,-0.03155504078512161,-0.02936062318708077,-0.030255592283006116,-0.032506031814348524
2018-03-31,-0.015907825158147038,0.004904971508134404,0.006798532968810722,0.0053374749487935524
2018-04-30,0.004310284208025816,-0.0003385397666704204,-9.762439565819125e-05,-0.0005739320374895662
2018-05-31,0.011566681184213667,0.0033738339117812544,0.003504297855127625,0.0026404098806878107
2018-06-30,-0.0008723565259023403,-0.006482233269385795,-0.00791634275735087,-0.0088940773227556
2018-07-31,0.026782096531697386,0.01956377681863497,0.019523647904596375,0.019581579173633124
2018-08-31,0.016524047579258072,0.0022148263816865743,0.002171125074060809,0.0022448178707932254
2018-09-30,0.005446271230507449,0.00387181658955682,0.0034552878565747847,0.003490173569708821
2018-10-31,-0.05836899913527571,-0.04425687643969611,-0.04750303384232757,-0.049290663327971274
2018-11-30,0.01384315962060323,0.008938851426633976,0.010664013472716727,0.010207837276134502
2018-12-31,-0.061897062254715474,-0.033035484672348736,-0.035325230558182374,-0.03598961851021032
2019-01-31,0.06307010700443283,0.05720846486842679,0.0594079423062468,0.059915499734021216
2019-02-28,0.022594073778681834,0.011976306448331808,0.011647622080915854,0.01207703976685659
2019-03-31,0.012879591000998003,0.011901923403506709,0.011814506220401366,0.011164871119217379
2019-04-30,0.030612585925128943,0.018684400764747977,0.019342106760510624,0.02028077811011708
2019-05-31,-0.0500725218735425,-0.02603426338570647,-0.02831425520140496,-0.03016861083744904
2019-06-30,0.05414751431191145,0.038061344354577864,0.0386030574681655,0.039164456432173145
2019-07-31,0.005922758085405544,0.00031108763523057803,-0.0002355814987217153,-0.0002958837320351515
2019-08-31,-0.013877937482583258,0.00344847657258196,0.002763804721123142,0.0018257288014713602
2019-09-30,0.01845270633946794,0.013008671528234261,0.015478338673003966,0.015313375505992655
2019-10-31,0.02050612735213675,0.01441457650896849,0.015438950401180929,0.015268110893396525
2019-11-30,0.024049818337376072,0.00959435343454218,0.009980258457407798,0.009987574243679243
2019-12-31,0.026637249094470183,0.022440183357003818,0.022752942258915887,0.02350588423429545
2020-01-31,-0.00675119202403518,-0.0023573222727810705,-0.003749722637776176,-0.0036864062663529706
2020-02-29,-0.05823663778267274,-0.03999378664809827,-0.04166997583912446,-0.04102430475887919
2020-03-31,-0.09658775439618295,-0.10719281624412114,-0.11370136921082086,-0.10934361882647947
2020-04-30,0.08797538249872683,0.06776361067769532,0.07199678619139371,0.07008681647814163
2020-05-31,0.037313474981208516,0.043645701365606415,0.04535608664068502,0.04652699510609204
2020-06-30,0.018444014349024096,0.018355099683809994,0.021902164974188176,0.019972301733537368
2020-07-31,0.04233148146946819,0.02808463782770443,0.026953553333831204,0.026491631295648466
2020-08-31,0.05044115589819187,0.025725238314269427,0.026972849473859917,0.027062462218505612
2020-09-30,-0.024426520107996508,-0.010583252555238398,-0.008522986541798838,-0.00946499906577658
2020-10-31,-0.01819486925406799,-0.01632447152097838,-0.016248702894786193,-0.01646365552253637
2020-11-30,0.0886716212173444,0.07477949837951292,0.07788542486067462,0.07992814474261012
2020-12-31,0.03361196422760204,0.02879487939784231,0.0302690778899406,0.0319526443474476
2021-01-31,-0.0036005955529255784,0.004684157177212489,0.007206868455852611,0.006900563073039434
2021-02-28,0.020078607796789605,0.008306448092409546,0.0098412422920795,0.010831504499940303
2021-03-31,0.028891219514451283,0.011658344915860042,0.010768310165329753,0.010903581205688129
2021-04-30,0.03488581662289714,0.02119428419298197,0.020547481270145163,0.020599011182672378
2021-05-31,0.007854126418824103,0.008085466592221424,0.008667468385520793,0.00855518711570058
2021-06-30,0.012607788080698956,0.006898506875185451,0.00657185294393825,0.006142266432137777
2021-07-31,0.011614319956448904,0.0010679277336225201,-0.0009745053311512875,-0.0009948082316433293
2021-08-31,0.02009624337593552,0.009100460185283987,0.008782358829179548,0.008636320341855352
2021-09-30,-0.03394478424544123,-0.020210872713880446,-0.019445116511282556,-0.01927025996809506
2021-10-31,0.0458784354860069,0.019600969115016298,0.01896486348821247,0.019082529186932984
2021-11-30,-0.012708388768978174,-0.017106147217370915,-0.017875979546009613,-0.01821467011415634
2021-12-31,0.03398388780244499,0.02424693671674838,0.023884555200746505,0.02370431899486314
2022-01-31,-0.03665789031512534,-0.015582739475071494,-0.013730207621644341,-0.013894538059671002
2022-02-28,-0.026301233730828932,-0.02934967921049203,-0.029037648329480636,-0.029355483501138924
