percentile,terminal_wealth_usd_mn
p1,130.4356381370487
p5,159.5898076510723
p10,178.01574727239975
p25,215.008933759607
p50,265.7831323336528
p75,326.78339969159765
p90,395.1437362977614
p95,440.8939194344659
p99,548.244198201495
